incrad,minsep,crowder_potential,phi_slot,phi_membrane,totflux_A_1000
0.5,4.46,0.19,0.992292728,0.744219546,1.28e-05
0.5,4.46,0.19,0.992292728,0.744219546,1.24e-05
0.5,4.46,0.19,0.992292728,0.744219546,1.28e-05
0.5,4.46,0.19,0.992292728,0.744219546,1.29e-05
0.5,4.46,-0.06,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.06,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.06,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.06,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.06,0.992292728,0.744219546,1.24e-05
1.06,0.7,-0.06,0.749487813,0.56211586,6.19e-05
1.06,0.7,-0.06,0.749487813,0.56211586,6.01e-05
1.06,0.7,-0.06,0.749487813,0.56211586,-0.000121611
1.06,0.7,-0.06,0.749487813,0.56211586,-4.77e-05
1.06,0.7,-0.06,0.749487813,0.56211586,-0.00015837
1.06,0.7,0.0,0.749487813,0.56211586,-0.000186091
1.06,0.7,0.0,0.749487813,0.56211586,-0.000135316
1.06,0.7,0.0,0.749487813,0.56211586,0.000212523
1.06,0.7,0.0,0.749487813,0.56211586,8.93e-05
1.06,0.7,0.0,0.749487813,0.56211586,0.000210366
1.06,1.77,0.12,0.914248291,0.685686218,-0.000103671
1.06,1.77,0.12,0.914248291,0.685686218,-8.69e-05
1.06,1.77,0.12,0.914248291,0.685686218,-0.000233245
1.06,1.77,0.12,0.914248291,0.685686218,-0.000111955
1.06,1.77,0.12,0.914248291,0.685686218,0.000457845
1.06,0.7,-0.19,0.749487813,0.56211586,0.000355281
1.06,0.7,-0.19,0.749487813,0.56211586,0.000287896
1.06,0.7,-0.19,0.749487813,0.56211586,7.62e-05
1.06,0.7,-0.19,0.749487813,0.56211586,0.000350494
1.06,0.7,-0.19,0.749487813,0.56211586,-3.21e-06
1.06,0.7,-0.12,0.749487813,0.56211586,6.21e-05
1.06,0.7,-0.12,0.749487813,0.56211586,0.000144129
1.06,0.7,-0.12,0.749487813,0.56211586,-9.24e-05
1.06,0.7,-0.12,0.749487813,0.56211586,-0.000198763
1.06,0.7,-0.12,0.749487813,0.56211586,7.2e-05
1.06,0.7,-0.25,0.749487813,0.56211586,-6.97e-05
1.06,0.7,-0.25,0.749487813,0.56211586,-7.13e-05
1.06,0.7,-0.25,0.749487813,0.56211586,-8.11e-05
1.06,0.7,-0.25,0.749487813,0.56211586,-0.000287078
1.06,0.7,-0.25,0.749487813,0.56211586,-0.000337117
1.06,1.77,0.0,0.914248291,0.685686218,0.000119594
1.06,1.77,0.0,0.914248291,0.685686218,-0.000347903
1.06,1.77,0.0,0.914248291,0.685686218,1.94e-05
1.06,1.77,0.0,0.914248291,0.685686218,0.000224893
1.06,1.77,0.0,0.914248291,0.685686218,0.000137215
1.06,0.7,0.12,0.749487813,0.56211586,-7.07e-06
1.06,0.7,0.12,0.749487813,0.56211586,-0.000285164
1.06,0.7,0.12,0.749487813,0.56211586,7.05e-05
1.06,0.7,0.12,0.749487813,0.56211586,5.94e-05
1.06,0.7,0.12,0.749487813,0.56211586,0.000122554
1.06,0.7,0.06,0.749487813,0.56211586,-9.09e-05
1.06,0.7,0.06,0.749487813,0.56211586,2.06e-05
1.06,0.7,0.06,0.749487813,0.56211586,1.74e-05
1.06,0.7,0.06,0.749487813,0.56211586,0.00022197
1.06,0.7,0.06,0.749487813,0.56211586,-2.58e-05
1.06,2.85,-0.25,0.931591499,0.698693624,-2.18e-05
1.06,2.85,-0.25,0.931591499,0.698693624,0.000130938
1.06,2.85,-0.25,0.931591499,0.698693624,6.97e-05
1.06,2.85,-0.25,0.931591499,0.698693624,-5.8e-05
1.06,2.85,-0.25,0.931591499,0.698693624,-7.6e-05
1.06,2.31,-0.19,0.931591499,0.698693624,5.63e-05
1.06,2.31,-0.19,0.931591499,0.698693624,9.92e-05
1.06,2.31,-0.19,0.931591499,0.698693624,-0.000232322
1.06,2.31,-0.19,0.931591499,0.698693624,0.000124909
1.06,2.31,-0.19,0.931591499,0.698693624,0.00010515
1.06,1.77,0.19,0.914248291,0.685686218,0.000155438
1.06,1.77,0.19,0.914248291,0.685686218,-8.55e-05
1.06,1.77,0.19,0.914248291,0.685686218,0.000133712
1.06,1.77,0.19,0.914248291,0.685686218,0.00046261
1.06,1.77,0.19,0.914248291,0.685686218,-9.97e-05
1.06,2.31,-0.25,0.931591499,0.698693624,8.09e-05
1.06,2.31,-0.25,0.931591499,0.698693624,-0.000175859
